local authority: district / unitary (as of April 2023),mnemonic,Sep-24
Barnsley,E08000016,2625
Bradford,E08000032,4991
Calderdale,E08000033,2314
Doncaster,E08000017,3034
East Riding of Yorkshire,E06000011,4556
"Kingston upon Hull, City of",E06000010,2228
Kirklees,E08000034,4102
Leeds,E08000035,7891
North East Lincolnshire,E06000012,1678
North Lincolnshire,E06000013,1808
North Yorkshire,E06000065,7850
Rotherham,E08000018,2488
Sheffield,E08000019,4881
Wakefield,E08000036,3538
York,E06000014,2134
